Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
30,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400446,Hart Of Ramses   ,"A mysterious artifact is thrown into your hands. With it an adventure to the vally of the kings and apersonal meeting with Alister Crowly. Call of Cthulhu Game, for 8 players.",Troy Wilhelmson,2,S,2,"E104, E. Game Hall","04, 10, 14",,,,,,,,,,,,,,,,,,,,,,,
31,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400386,Enemy Within,"Chicago’s protectors are launched into a strange world—but so is their arch-nemesis, the machination! Characters provided. Roleplaying a must. ",Craig Stodolenar,2,I,2," K50, Kilbourn",03 Final: 11,,,,,,,,,,,,,,,,,,,,,,,
32,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400321,Operation-Bank Rupture  ,"What is causing the power outages in the major cities of the U.S.A.? Why is the Treasury Department asking for assistance? Join Guardion Inc., Baltimore Branch, and foil Cobra’s plot.",Keith Darron,1,S,2,"E504, E. Game Hall","04, 05",,,,,,,,,,,,,,,,,,,,,,,
33,1990,ROLE-PLAYING GAME,CHILL Game by Mayfair Games,400084,"Overnighter III, Summer Camp","Every year for 10 years now, Summer Counselors at Camp Clearlake have disappeared or died horribly. This summer, guess who’s working there? That’s right, Biff, April, Butch the Wonder Dog.",Scott Thorne,1,N,2,"E609, E. Game Hall ",9,,,,,,,,,,,,,,,,,,,,,,,
34,1990,ROLE-PLAYING GAME,DANGER INTERNATIONAL by Iron Crown,400101,Who Laughs...   ,"You are the watchers. The Comedian is out of control, assassinating political figures that are unfriendly to the U.S. Your job is to stop him before he strikes again. Watchers §3",Kevin Johnson,1,S,2," E302, E. Game Hall",3,,,,,,,,,,,,,,,,,,,,,,,
35,1990,ROLE-PLAYING GAME,"DAWN PATROL Game by TSR, Inc.",400181,Venice Of The North   ,"Clear the skies for the French offensive.
Beware, of the canal bridges.",Jim Mclntyre,1,I,2,"ED2, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
36,1990,ROLE-PLAYING GAME,"DRAGONQUEST Game by TSR, Inc.",400317,Domain Of The Damned!,"Your party,characters provided, must traverse the under-realm where chaos rules & stop Silvia-High seer of Black Magic. I guarantee you’ll enjoy this roleplay intro to Dragon Quest. 16 and over.",Dale Goetzke,1,N,2,"ED5, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
37,1990,ROLE-PLAYING GAME,FANTASY HERO by Iron Crown,400434,Fantasy Hero 1,The official I.C.E. fantasy hero tournement. A group of carnival performers must deal with their occupational hazards in a world where you can only trust your wits & your friends.,David Simkins,2,S,2,"K43, Kilbourn Location: K37, Kilbourn ","05, 07 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
38,1990,ROLE-PLAYING GAME,"GAMMA WORLD Games by TSR, Inc.",400449,GAMMA WORLD ,This mini-tournament will pit the player characters against the wiles of GAMMA WORLD. Can the characters find the package of ultimate strength before they meet their ultimate demise?,"TSR, Inc.",2,I,2,"K33, Kilbourn","04
Final: 11",,,,,,,,,,,,,,,,,,,,,,,
39,1990,ROLE-PLAYING GAME,"HARNMASTER by Columbia Games, Inc.",400070,Adventures in Harn  ,"Tired of the same old dungeon adventures?
Why not take to the High Seas! Explore the deep waters around the island of Harn.
Walk-ins and beginners to HarnMaster welcome. Rules taught. Min. age 16.",Calvin Stengel,1,N,2,"E707, E. Game Hall"," 04, 05, 06, 09",,,,,,,,,,,,,,,,,,,,,,,
40,1990,ROLE-PLAYING GAME,"HARNMASTER by Columbia Games, Inc.",400146,Sitting On The Dock Of The Bay,"Hey fishbait, three bells and we go tonight! Two bells we wait, One bell, the crew goes down with the Ship! That’s Commerce in the City of Wizards.",David Millians,1,I,2,"E102, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
41,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400045,I.C.E. Justice Inc. V,Return to the action and adventure of the 30’s and experience life as a pulp novel hero. Gitelman and Adelsick host this 5th annual official event. Roleplaying stressed. Spectators welcome.,Susan Grau,2,S,2,"E203, E. Game Hall ","E205, E. Game Hall Also runs: 06, 12 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
42,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400280,Jessie Quest,"Jessup has gone missing. You, her friends companions and assorted others are looking for her The question is, does she want to be found?",Sherry Dees,2,I,2,"E309, E. Game Hall Location: E409, E. Game Hall ",03 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
43,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400396,And The Dead Shall Walk ,"The bodies of various religous leaders are turning up around town drained of all blood. You have a good idea as to what is going on but can
you stop it before disaster befalls the city? ",Tom Skucas,1,I,2,"K35, Kilbourn","04, 07",,,,,,,,,,,,,,,,,,,,,,,
44,1990,ROLE-PLAYING GAME,JUDGE DREDD by Games Workshop,400121,Here Comes the Judge!   ,"You are a Judge in Mega-City One, highly trained from the age of 5 to handle any situation from Boinging to Gaxing. Can you, the Ultimate Law-Enforcer, rescue the Kidnapped Sector House Chief.",David Rickett,1,S,2,"E101, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
45,1990,ROLE-PLAYING GAME,"MARVEL SUPER HEROES Game by TSR, Inc.",400114,The Genesis Gambit,"Some Wars never end-good vs evil, weak vs strong, mutant vs mutant. The ultimate battle is about to begin, the solution is at hand.
Featuring a battle royale final round: heroes vs villains.",Katherine York,2,I,2,"E214, E. Game Hall Location: E314, E. Game Hall Location: E414, E. Game Hall","02, 05 Final: 09,10",,,,,,,,,,,,,,,,,,,,,,,
46,1990,ROLE-PLAYING GAME,MEGATRAVELLER by GDW,400076,Crimson Unicorn.,It’s back to school for Duke Noris Elite Naval Intelligence Team. You must discover who is leaking vital information-from within Deneb Naval Intelligence School! Dangerous undercover action.,Robert Mason,1,S,2,"E202, E. Game Hall","02, 03",,,,,,,,,,,,,,,,,,,,,,,
47,1990,ROLE-PLAYING GAME,MIDWORLD by Neon Milkmen,400097,Midworld ,New Game soon to be published. Fantasy game using no Earth creatures or mythological creatures. Contains. Very unique character races.,Chares Hahr,1,N,2,"E612, E. Game Hall","02, 03, 04",,,,,,,,,,,,,,,,,,,,,,,
48,1990,ROLE-PLAYING GAME,ROLEMASTER Game by Iron Crown,400110,"
TORGON 3, Then There Were None","The heroes from the Druid’s Keep have disappeared. The Emperor has assembled a search party to find the missing heroes and if necessary, help the heroes on their quest.",John Curtis,3,I,2,"K71, Kilbourn Location: K72, Kilbourn Location: K73, Kilbourn Location: K74, Kilbourn ",02 Semi Final: 06 Final: 07,,,,,,,,,,,,,,,,,,,,,,,
49,1990,ROLE-PLAYING GAME,ROLEMASTER Game by Iron Crown,400313,"Meyaat, Minion Of Saath  ","Skilled-RM, RMC, RMCII. Shadow World-Desert Jewel-Ariel is now an unperson with a short future. Dare to enter the pyramid of Meyaat.",Alan Belasic,2,S,2," E311, E. Game Hall ","05, 13 Final: 02, 06,14",,,,,,,,,,,,,,,,,,,,,,,
50,1990,ROLE-PLAYING GAME,ROLEMASTER Game by Iron Crown,400345,Pieces of Eight,"A mysterious tower springs up right beneath your feet as you unearth the location of an ancient treasure trove. Put your greed to the test and bring your sword arm, too! Characters provided.",Ken Dysland,1,I,2,"E412, E. Game Hall","05, 09",,,,,,,,,,,,,,,,,,,,,,,
51,1990,ROLE-PLAYING GAME,RUNEQUEST Game by Avalon Hill,400334,In Search Of The Lost Chord  ,Adventure in the fantastical world of Glorantha! This event is sponsored by Chaosium & hosted by the Chaosium Staff. Characters will be provided.,"Chaosium, Inc.",2,I,0,"E513, E. Game Hall","05, 09 Final: 14",,,,,,,,,,,,,,,,,,,,,,,
52,1990,ROLE-PLAYING GAME,SPACE: 1889 by Game Designers Workshop,400417,Let’s Make History! ,"Two fantasy-historical RPGs are explained & played Space 1889 is based on colonial Europe where space travel is possible. Ars Magica is set in 13th century Europe, with magic a mage’s dream.",Gwendolyn Kestrel,1,N,2,"K42, Kilbourn",5,,,,,,,,,,,,,,,,,,,,,,,
53,1990,ROLE-PLAYING GAME,STAR WARS by West End Games,400282,Delusions of Reprieve,"Few inmates leave the Cobalt High Society detention center alive. Discovering secret information vital to the rebellion,gives you the incentive. Can the other inmates be trusted?",Tom Gard,1,I,2,"E512, E. Game Hall","02, 04",,,,,,,,,,,,,,,,,,,,,,,
54,1990,ROLE-PLAYING GAME,STORMBRINGER Game by Chaosium,400332,The Terror,Sponsored by Chaosium. A gang of mercenaries are hired to explore an ancient Melnibonean stronghold thought to be long deserted. This event features the new 4th edition Stormbringer rules.,"Chaosium, Inc.",1,N,0,"E614, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
55,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450003,AD&D Game Feature,"“Time Heals” by Gregg Swedberg and Al Boyce. To save the life of their draw friend, 6 adventurers must race against time-and through it. Standard XP. ",RPGA Network HQ,3,I,3,"BG-C, Bruce Hall","04, 07 Semi Final: 09,10 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
56,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450009,AD&D Game Oriental Masters  ,“Sea Of Fire” by Robert Farnsworth. The Orient holds wondrous & magical surprises. But a band of adventurers learns there is terror there as well. MEMBERS ONLY-3rd LEVEL & UP. Triple XP.,RPGA Network HQ,2,S,2,"BG-G, Bruce Hall",07 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
57,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450013,AD&D Game Living City,"“Nightwatch” by Walter Baas & Kira Glass. When the fog rolls in, so does danger. And the city’s nightwatch must handle it. MEMBERS ONLY. Players must use their own characters. Std. XP.",RPGA Network HQ,1,I,2,"BG-B, Bruce Hall ","03, 07, 10,12,13",,,,,,,,,,,,,,,,,,,,,,,
58,1990,RPGA NETWORK SANCTIONED EVENT,JAMES BOND 007 Game by Victory,450030,JAMES BOND (Fluffy Bond)  ,"“Bond, Fluffy Bond” by Don Bingle and Rich Bingle. As a member of a crack team of spies, you are sent on a hair-raising, hilarious hunt for a purloined pooch. 4-member teams. OPEN TO ALL. Standard XP.",RPGA Network HQ,1,I,2,"BG-L, Bruce Hall","04, 07.",,,,,,,,,,,,,,,,,,,,,,,
59,1990,"
 
Type: 2 Rd        Exp: I        Cost: $2.00
RPGA
Network HQ/GM
Location: Also runs: ","MARVEL SUPER HEROES Game by TSR, Inc.",450018,MARVEL SUPER HEROES Game,"“The Protectors” by J. Allen Fawcett. You are a member of a new super hero group formed to protect Denver from Chaos. Your boss is crazy, but the pay is good. Standard XP. ",RPGA Network HQ,2,I,2,"BG-K, Bruce Hall ","08, 09 Final: 11",,,,,,,,,,,,,,,,,,,,,,,
60,1990,STRATEGIC B0ARDGAME,CIRCUS MAXIMUS RULES by Avalon Hill,200013,Carnivorous Amazingus,"Compete in a race against up to 9 other people with slavering beasts aplenty, plus an occasional spear tossed your way. If you place in the top five, you then race with the best in the final!",Kirk Simmons,2,N,2,"W110, W. Game Hall Final: 02",,,,,,,,,,,,,,,,,,,,,,,,
61,1990,STRATEGIC B0ARDGAME,DIPLOMACY Board Game by Avalon Hill,200012,Diplomacy,Abstract World War I strategy game.,Joel Heady,1,I,2,"W413, W. Game Hall ",9,,,,,,,,,,,,,,,,,,,,,,,
62,1990,STRATEGIC B0ARDGAME,HOME RULES,200035,6-Man Fantasy Pick Up Game  ,"Wyverns,Inkblots,Dwarfs,Ores,Imps and even Death himself struggle for supremacy. Your destiny may rest on your next pick from the magic Chalice in this twisted game of man, monster and The Plague.",Jeremy Weber,1,N,2,"W316A, W. Game Hall","02, 10",,,,,,,,,,,,,,,,,,,,,,,
63,1990,STRATEGIC B0ARDGAME,KINGS & THINGS by West End Games,200004,KINGS & THINGS,"Muster ragtag armise of Ghosts, Wyverns, Farmers, Birds-of-Paradise, Poison Grass and other assorted monsters to unite the Kingdom of Kadab under your Divine Rule.",G. Scott Russell,2,N,2,"W306, W. Game Hall Location: W308, W. Game Hall",05 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
64,1990,STRATEGIC B0ARDGAME,KLAYWARS by Escape Ventures,200025,Klaywars,The EVPA invites you to create crazy clay figures and bash away to your heart’s content in this fun and often hilarious fighting simulation. Leave your Mom’s shag carpet at home! Prizes awarded. ,Jay Little,1,N,2,"W403, W. Game Hall","05, 09",,,,,,,,,,,,,,,,,,,,,,,
65,1990,STRATEGIC B0ARDGAME,SHOGI—Japanese Chess,200003,SHOGI—Japanese Chess,Many feel that the ancient game of Shogi is superior to Chess. Find out for yourself. 12 players will be paired in various ways. Chess clocks will be used.,George Marino,1,N,2,"W316B, W. Game Hall ",13,,,,,,,,,,,,,,,,,,,,,,,
66,1990,STRATEGIC B0ARDGAME,STAR FLEET BATTLES Game by Task Force,200070,Fleet Captains Tournament,"Official SFB Captains tournament, Dooms Day Rules Preliminary rounds on Thurs. & Fri. Semi on Saturday and final on Sunday.",John Berg,3,S,2,"SFB, Com Con FI. 2","C02, C03, C04, C05, C06, C07, C08
Semi Final: 09,10,11 Final: 14",,,,,,,,,,,,,,,,,,,,,,,
67,1990,STRATEGIC B0ARDGAME,,200014,Star Fleet Battle Patrol,Official SFB Patrol tourney. Play as much Star Fleet as you want. Preliminary rounds all day Thurs. & Fri. Top finalists play elimination on Sat. Tournament will use Dooms Day.,Stephen Cole John Berg,3,I,3,"SFB, Com Con FI. 2","C02, C03, C04, C05, C06, C07, C08
Semi Final: 10 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
68,1990,STRATEGIC B0ARDGAME,VINYAN TRYAD by Escape Ventures,200024,Vinyan Tryad Tournament ,"Join the EVPA in playtesting this Vinyan game of luck, which was 1st introduced as a game within a game, in Element Masters rpg. All materials will be provided & all rules to be taught. Prizes.",Ed Sznyter,1,N,2,"W304, W. Game Hall","05, 09",,,,,,,,,,,,,,,,,,,,,,,
69,1990,COMPUTER GAMING,CHAOS STRIKES BACK by FTL,600001,Chaos Strikes Back ,"You defeated Chaos in DUNGEON MASTER, but he is back for a rematch, in the sequel to the most popular Amiga dungeon adventure. Are you ready?",Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","01B, 05A, 05B",,,,,,,,,,,,,,,,,,,,,,,
70,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only. ,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","01B, 02A, 02B, 03A, 03B, 04A, 04B,
05B, 06A, 06B, 07A, 07B, 08A, 08B, 09A",,,,,,,,,,,,,,,,,,,,,,,
71,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari ,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles. Enjoy.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","01B, 02A, 02B, 03A, 03B, 04A, 04B,
05A, 05B, 06A, 06B, 07A, 07B, 08A, 08B",,,,,,,,,,,,,,,,,,,,,,,
72,1990,COMPUTER GAMING,MIDI MAZE Computer Game,600015,Midi Maze Tournament ,"Back for ’90, the most popular computer game of GEN CON Game Fair! 16 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","01B, 02B, 03A, 03B, 04A, 05A, 05B,
06B, 07A, 07B, 08A, 09A, 09B, 10A, 10B",,,,,,,,,,,,,,,,,,,,,,,
73,1990,Seminar,,400310,Game Masters Weekend Workshop,Join us each day at this time for our second Game Masters Workshop. Six experts lead 8 sessions. So popular last year we have divided into 2 sections. Graduates receive outlines & a detailed adventure. ,John Wheeler & Peter Rice,,N,30,"S3, Octagon West ","C01B.C05, C09, C13",,,,,,,,,,,,,,,,,,,,,,,
74,1990,Seminar,,400351,I Love It When a Plan...  ,...Comes Together. What is the party doing here? What will the PC’s do next? Discuss the goal and dreams of your PCs and their impact on the roleplaying in your game.,John Wheeler & Peter Rice,,N,4," S3, Octagon West",02A,,,,,,,,,,,,,,,,,,,,,,,
75,1990,COMPUTER GAMING,CHAOS STRIKES BACK by FTL,600001,Chaos Strikes Back ,"You defeated Chaos in DUNGEON MASTER, but he is back for a rematch, in the sequel to the most popular Amiga dungeon adventure.
Are you ready?",Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","05A, 05B",,,,,,,,,,,,,,,,,,,,,,,
