Year,Original Order,Start Date & Time,Event Type,End Date & Time,Game ID,Title,Long Description,Maximum Players,Experience Required,Total Rounds,Location,GM Names,Prize,Cost $,Group,Also Runs,Short Description,Game System,Rules Edition,Minimum Players,Age Required,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified,Rules Complexity
1980,31,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,6:00pm Friday,163,Into the Dwarven Mansions,An AD&D event using miniatures.,8,,,Greenquist D-127,Dave Sutherland,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,32,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,1:00pm Friday,162,Lightning Bringer,An Empire of the Petal Throne event featuring miniatures and the dreaded Lightning Bringer! ,10,1,,Greenquist D-127,Dave Sutherland,Gift Certificate (Zocchi Distributors/Gamescience).,,,,,,,,,,,,,,,,,,,,,,
1980,33,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,6:00pm Friday,140,The Long Road Home,A role-playing event using Bushido rules.,8,6,,Molinaro L-105,Mark Liberman,Gift Certificate (Zocchi Distributors/Gamescience).,,,,,,,,,,,,,,,,,,,,,,
1980,34,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00am Sunday,232,Monty Python’s Flying Dungeon,An AD&D adventure of unknown origins.,8,6,,Molinaro L-113,David Rogan & Tom Humphrey,"Gift Certificate (TSR Hobbies—Hey, we’re just providing the prize folks!).",,,,,,,,,,,,,,,,,,,,,,
1980,35,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"9:00-Noon, l:00-4:00pm ",17,Operation Omega,Two short jaunts into Outer Space.,12,4,,Greenquist D-101,Jim Selzer,(Prize: Gift Certificate (Ta-HR).,,,,,,,,,,,,,,,,,,,,,,
1980,36,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Sunday,188,Palace of Slydeath EHP of Set,"An AD&D adventure. A group of medium level characters has searched for and found the hidden lair of Slydeath. But, is it more than it was bargained for?",9,6,,Greenquist D-107,Paul Zieske & Greg Arcisz.,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,37,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Sunday,243,The Perils of the Pit of the Vampire Princess,"An AD&D adventure; Player swill choose from a list of 13 characters of ninth to twelfth level, pitting themselves against the defenses of the Vampire Princess.",9,5,,Molinaro D-130,Jeff Goelz,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,38,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Noon Thursday,33,Second Annual Infiltration of the Lich’s Stronghold,"If you survived the first infiltration, how can you resist the second? The winner will be chosen according to a point System after four hours of play. ",6,6,,Greenquist D-l 13,James Annis & Scott Prouty,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,39,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"1:00 Thursday, 054-055 , 10:00pm Friday.","52,053,054,055",The Temple at Bona: Arri Flex Mordel Returns,"Sordid rumors of a drug-controlled citizenry and zombie laborers surround the outland town or Bona, while the Clerics and Mages of the town work with the powers unfamiliar even in the sophisticated culture of the Valley of the Moon. You are charged by your Patriarch to root out and destroy evil as you find it in the town.",8,6,,"Com Arts L-144, L-142", Ken Ralston & George Johnson,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,40,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,7:00pm Thursday,126,The Terlsh Mines—Cona Island,This D&D/AD&D adventure will feature the playtest of the DM’s Armor Class rules.,12,4,,Greenquist D-109,Joe Fischer & Dana Klassy,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,41,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"9:00am Thursday. 231 , 5pm Thursday"," 230, 231 ",Thiefs Keep,An AD&D adventure,6,6,,"Com Arts L-135, Greenquist D-123",David Rogan & Tom Humphrey,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,42,1980,ROLE-PLAYING GAMES AND TOURNAMENTS," 2:00pm Thursday. 059 , 5:00pm Thursday","058, 059  ",Third Annual Dungeon Wars,Two opposing parties battle through this event.,10,4,,"Com Arts L-128, L-132","John Rowlan, Joe Sisto, Scott Wallace, & Bob Uphues",Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,43,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Thursday,159,To Rescue the Elven Princess,An AD&D event using miniatures.,8,1,,Greenquist D-127,Dave Sutherland,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,44,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,7:00pm Saturday,166,To the Everlasting Glory of Vinuhla,"An Empire of the Petal Throne event with miniatures, centering around Tekemul’s fire god.",8,1,,Greenquist D-127,Dave Sutherland,Gift Certificate (Zocchi Distributors/ Gamescience).,,,,,,,,,,,,,,,,,,,,,,
1980,45,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3pm Thursday,255,Tomb of Som the Dead,Som the Dead is a great anti-paladin. You are the chosen ones to deliver a ransom for his daughter as well as steal a certain gem.,8,5,,Molinaro L-213,Brian Price,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,46,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,4:00pm Saturday,7,Top Secret,A two round tournament featuring TSR’s popular new role-playing game and its author.,36,3,, Meeting Area Greenquist D-105,"Merle Rasmussen, Mike Carr, Corey Koebernick, Jerry Epperson, Scott Collins, & Evan Robinson.",Trophy (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,47,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00am Saturday,50,The Town of Grellton,"An AD&D adventure with pre-diced characters, second through fifth level.",10,5,,Com Arts L-143,Len Lakofka,Gift Certificate (TSR Hobbies),,,,,,,,,,,,,,,,,,,,,,
1980,48,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00am Sunday,181,Traveller Adventure,,8,4,,Greenquist L-119,Russ Paulsen,Gift Certificate (TA-Hr Miniatures).,,,,,,,,,,,,,,,,,,,,,,
1980,49,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"
7:00pm Saturday",223,Tunnels & Trolls,Flying Buffalo’s fantasy role playing game is the feature of this event.,8,3,"
",Greenquist D-l 17 Corridor,Rick Loomis,Gift Certificate (Flying Buffalo).,,,,,,,,,,,,,,,,,,,,,,
1980,50,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,5:00pm Thursday,179,Tunnels of Impending Doom!,"An AD&D adventure inside the veins of a volcano, using prerolled characters from sixth to eighth level.",8,6,,Molinaro L-236,Shawn Bina & Eric Bina,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,51,1980,ROLE-PLAYING GAMES AND TOURNAMENTS, 11:00am Sunday,203,The Turrilan Web,A role-playing event using Metagaming’s In the Labyrinth rules. Free Demo Game.,10,3,,Com Arts L-139,Shawn Carroll,,,,,,,,,,,,,,,,,,,,,,,
1980,52,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00pm Thursday,138,Twin Peaks,An AD&D adventure for high-level characters.,6,6,,Greenquist D-123,Helen Cook,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,53,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Sunday,205,Underground Adventure,An AD&D event with high level characters,6,8,,Molinaro D-107,Dirk Calbert & Jay Calbert,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,54,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,5:00pm Thursday,16,AD&D Underground Excursion,An AD&D event using a special system for damage and pre-rolled characters.,8,3,,Greenquist D-l 13,Craig Bina & Scott Prouty ,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,55,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Thursday,186,Valley of the Mounds, An AD&D adventure. A group of moderately high-level characters is out to recover a lawful relic and return safely. Some new monsters and some puzzles to solve. ,9,6,,Com Arts L-129,"Ron Gilbert, Paul Zieske & Greg Arcisz",Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,56,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,7:00pm Thursday,63,Village of the Damned,"Something is going on in a nearby abandoned village— but what? The forces of chaos are gathering—but why? Your mission is to find out before it it too late. Players may use their own Runequest characters if they wish, but be forewarned, the area is very dangerous.",6,4,,Greenquist D-103,"Mark Lukens, Dan Lukens & Phil Simonson",Gift Certificate (The Chaosium).,,,,,,,,,,,,,,,,,,,,,,
1980,57,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Friday,42,Villains & Vigilantes,A fast-moving game featuring super-heroes and super-villains.,5,5,,Com Arts L-133, Jeff Dee,Gift Certificate (Fantasy Games Unlimited).,,,,,,,,,,,,,,,,,,,,,,
1980,58,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,2:00pm Saturday,118,Villains and Vigilantes #2,More super action; refereed by the game’s co-author.,5,3,,Greenquist D-113,Jack Herman,Gift Certificate (Fantasy Games Unlimited).,,,,,,,,,,,,,,,,,,,,,,
1980,59,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Concourse 1:00pm Friday (6 Adventures). 047 Concourse 10:00am Saturday (8 Adventures). 048 Concourse 10:00am Sunday (6 Adventures).,"046, 047, 048",Visual D&D,Quick one hour adventures in a wooden dungeon using 25mm figures.,6-9,,,Concourse ,"Bill Fawcett, John Main & Bill Wicghers",Gift Certificates (Grenadier Models).,,,,,,,,,,,,,,,,,,,,,,
1980,60,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Saturday,56,The Wizard and the Witch,An AD&D event with pre-diced characters of fifth through ninth level.,10,6,,Com Arts L-143,Len Lakofka,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,61,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Thursday,26,American Civil War Miniatures,Stars & Bars will be used to create this 15mm division level action somewhere in the Eastern Theater—circa 1863,8,3,,Molinaro L-318,"Mike O’Brien, Ivor Janci & John Borris",(Miniature Figurines Ltd.).,,,,,,,,,,,,,,,,,,,,,,
1980,62,1980,MINIATURES GAMES AND TOURNAMENTS, 8:00am Saturday,149,ACW—Battle of Clear River Station,An American Civil War battle in 25mm using the referee’s own rules.,10,3,,Molinaro Concourse,Ed Pauley,Gift Certificate (Miniature Figurines Ltd.).,,,,,,,,,,,,,,,,,,,,,,
1980,63,1980,MINIATURES GAMES AND TOURNAMENTS,"10:00am Friday. 087 , 3:00pm Friday","086, 087 ",Ancient Galleys,Ram and board is the name of the game when ancient fleets clash.,8,3,,Com Arts L-132,John Bobek,Gift Certificate (Valiant Miniatures).,,,,,,,,,,,,,,,,,,,,,,
1980,64,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Thursday,134,Armor Miniatures,A l/285th scale 1944 Russian Front battle. Elements of Panzer Brigade Michaels attack a bridgehead of the Soviet 6th Tank Division. ,8,2,,Student Union L-207,"Mike Reese, Dale Bley, & Bob Zobel",,0,,,,,,,,,,,,,,,,,,,,,
1980,65,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Friday,135,Armor Miniatures #2,"135 A l/285th scale 1944 Southern Front game, a cavalry delaying action against a Soviet Regiment. A core of two players will act as commanders for the entire 12 hour battle while six sub commanders will change every four hours. Players should check in at the start for details.",8,2,,Student Union L-207,"Mike Reese, Dale Bley, & Bob Zobel",,0,,,,,,,,,,,,,,,,,,,,,
1980,66,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Saturday,136,Armor Miniatures #3,A 1943-1945 Battalion/Brigade level game in l/285th scale. A core of two players will act as commanders with six other players acting as sub commanders and changing every four hours. Check in at start for details.,6,2,,Student Union L-207," Dale Bley, Mike Reese, & Bob Zobel",,0,,,,,,,,,,,,,,,,,,,,,
1980,67,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Sunday,137,Armor Miniatures #4,A 1943 period Battalion/Brigade level action in 1/285 scale. A core of players will act as commanders with sub-commanders changing every four hours. ,12,2,,Student Union L-207,"Bob Zobel, Mike Reese, & Dale Bley.",,0,,,,,,,,,,,,,,,,,,,,,
1980,68,1980,MINIATURES GAMES AND TOURNAMENTS,1:00pm Thursday,173,Battle for Andromeda,An Alien Space Battle pitting two small fleets against one another and a mysterious third group.,17,3,,Student Union L-104,"Jeff Olson, Dan Alsmeyer & John McCord",Gift Certificate (Stan Johnasen Miniatures). ,,,,,,,,,,,,,,,,,,,,,,
1980,69,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Friday,229,The Battle of Bugnerd’s Folly,This miniatures event uses the Emerald Tablet rules with “Fog of War” errata.,13,4,,Com Arts L-134," David White, Ray Kunstmanas & Paul Montague",Gift Certificate (Bearhug Publi-cations).,,,,,,,,,,,,,,,,,,,,,,
1980,70,1980,MINIATURES GAMES AND TOURNAMENTS,Noon Sunday,196,Battle of Bull Run III,An American Civil War battle using Johnson’s Civil War Rules,12,3,,Molinaro L-322,John Johnson,Gift Certificate (Miniature Figurines Ltd.).,,,,,,,,,,,,,,,,,,,,,,
1980,71,1980,MINIATURES GAMES AND TOURNAMENTS,,144,Battle of the Barents Sea,A sea battle using modified Fletcher Pratt rules,10,3,,Student Union L-106,Scott Gunderson & Bill Ramsay,Gift Certificate (C in C Miniatures).,,,,,,,,,,,,,,,,,,,,,,
1980,72,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Thursday,143,Breakout at Normandy,A l/285th scale armor game using modified Angriff rules. ,12,3,,Molinaro L-109,Bill Ramsay & Scott Gunderson,Gift Certificate (C in C Miniatures).,,,,,,,,,,,,,,,,,,,,,,
1980,73,1980,MINIATURES GAMES AND TOURNAMENTS,10am Saturday,123,Battle of Tsushima,A recreation of the historic battle of Tsushima from the Russo-Japanese war using Seapower rules.,16,2,,Student Union L-106," John Buchner, Mark Sudemann & John Schuetz",,,,,,,,,,,,,,,,,,,,,,,
1980,74,1980,MINIATURES GAMES AND TOURNAMENTS,3:00pm Saturday,193,Bring Your Own 25mm ECW Army Tournament,"You’ll really get the feel of the period in this one, folks; what you have is what you manage to show up with! An event no ECW fan should miss. Rules in use: Wargamers Guide to the English Civil War 2nd Edition.",6,5,,Student Union L-104,Bill Protz,Gift Certificate (Miniature Figurines Ltd.).,,,,,,,,,,,,,,,,,,,,,,
1980,75,1980,MINIATURES GAMES AND TOURNAMENTS,"084 , 1:00pm Thursday. 085 , 3:00pm Sunday","084, 085 ",Coliseum,We who are about to die salute you! A 1:1 Gladitorial combat game,16,2,,Com Arts L-125 Greenquist Concourse,John Bobek,Gift Certificates (Ta-Hr Miniatures).,,,,,,,,,,,,,,,,,,,,,,
1980,76,1980,MINIATURES GAMES AND TOURNAMENTS,9:00am Friday,27,Computer Seapower,"Seapower the way it should be played. Naval wargaming at its most complex, made easy with a computer.",16,3,,Molinaro D-128,"Tom Herzinger, Jeff Harris & John Boris",Gift Certificate (C in C Miniatures).,,,,,,,,,,,,,,,,,,,,,,
1980,77,1980,MINIATURES GAMES AND TOURNAMENTS,1:00pm Friday,142,Don’t Give Up The Shipl,A multi-player miniatures game recreating a naval battle from the Napoleonic Era. An annual Gen Con tradition!,25,2,,Molinaro L-109,Mike Carr & Charlie Faught,Trophy (TSR Hobbies/The Dragon).,,,,,,,,,,,,,,,,,,,,,,
1980,78,1980,MINIATURES GAMES AND TOURNAMENTS,"112 , 9:00am Saturday. 113 , 9:00am Sunday","112, 113 ",Empire Minicampaign,Two Napoleonics games using Empire rules.,10,4,,Com Arts L-125 Greenquist Concourse,"Richard Peterson, Dale Lindholm & Mark Anderson",Gift Certificates (Miniature Figurines Ltd.).,,,,,,,,,,,,,,,,,,,,,,
1980,79,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Thursday,25,English Civi War Miniatures,A set-piece battle in 15mm with Royalist and Parliamentarian forces and Protz rules.,10,2,,Molinaro L-217,"Earl Kyle, Scott Burke & Tom Hertziger",,,(Miniature Figurines Ltd.).,,,,,,,,,,,,,,,,,,,,
1980,80,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Sunday,091B,5mm American Civil War Miniatures Battle,An extremely small scale battle with Corps level organization (ried of commanding brigades?). ,8,3,,Molinaro L-318,John Bobek,Gift Certificate (Fantasy & Hobby Sales & Mfg.).,,,,,,,,,,,,,,,,,,,,,,
1980,81,1980,MINIATURES GAMES AND TOURNAMENTS,10:00am Sunday,178,15mm Fantasy,A fantasy miniature event using modified Warlust & Battle Cry rules.,8,3,,Student Union L-106,"Jayson Geralewicz, Andrew Hooper, Dan Olsen & Richard Heilman",Gift Certificate (Grenadier Models).,,,,,,,,,,,,,,,,,,,,,,
